                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.42886,                0.23353,                 0.8135,                      1,                 0.9713,                0.99465,                0.94773,                0.38831,                0.20149,                0.90138,               0.008515,               0.008515,               0.008515
                     77,                0.42628,                0.23327,                0.81434,                0.99988,                 0.9821,                0.99497,                0.94691,                 0.3923,                0.20133,                0.90304,              0.0084952,              0.0084952,              0.0084952
                     78,                0.42376,                 0.2326,                0.81329,                      1,                0.98208,                  0.995,                0.94849,                 0.3972,                0.20103,                0.90321,              0.0084754,              0.0084754,              0.0084754
                     79,                0.42538,                0.23378,                0.81368,                0.99907,                0.99488,                  0.995,                0.94297,                0.37336,                0.18867,                0.90108,              0.0084556,              0.0084556,              0.0084556
                     80,                0.42212,                0.23063,                0.81283,                0.99486,                0.99044,                0.99495,                0.93709,                0.42701,                0.20097,                0.90391,              0.0084358,              0.0084358,              0.0084358
                     81,                0.42324,                0.22969,                0.81375,                0.99738,                0.97396,                0.99487,                0.94671,                 0.3887,                0.19587,                0.90149,               0.008416,               0.008416,               0.008416
                     82,                0.42159,                0.23132,                0.81092,                0.99744,                0.99765,                  0.995,                0.94703,                0.38694,                0.19638,                 0.9026,              0.0083962,              0.0083962,              0.0083962
                     83,                0.42321,                0.23086,                0.81369,                      1,                 0.9776,                  0.995,                0.95126,                0.36678,                0.19409,                 0.9011,              0.0083764,              0.0083764,              0.0083764
                     84,                0.41841,                0.22928,                0.81252,                0.99934,                      1,                  0.995,                0.94887,                0.37708,                 0.1876,                0.90106,              0.0083566,              0.0083566,              0.0083566
                     85,                0.42071,                0.22837,                0.81309,                0.99863,                0.99744,                  0.995,                  0.932,                0.42794,                0.20001,                0.90431,              0.0083368,              0.0083368,              0.0083368
                     86,                0.41974,                0.22697,                0.81277,                0.99743,                 0.9909,                0.99497,                0.93662,                0.41607,                0.20507,                0.90237,               0.008317,               0.008317,               0.008317
                     87,                 0.4141,                0.22494,                0.81385,                0.99224,                0.98054,                0.99467,                 0.9331,                0.42963,                0.22649,                 0.9045,              0.0082972,              0.0082972,              0.0082972
                     88,                0.42366,                0.22875,                0.81299,                0.99228,                0.98578,                0.99472,                0.92722,                0.45188,                0.22815,                0.90815,              0.0082774,              0.0082774,              0.0082774
                     89,                0.41734,                0.22713,                0.81292,                0.99222,                0.97888,                0.99477,                0.94376,                0.39026,                0.20071,                 0.9018,              0.0082576,              0.0082576,              0.0082576
                     90,                0.41652,                0.22584,                0.81273,                0.98968,                0.98124,                0.99464,                0.94422,                0.38702,                0.18957,                0.90145,              0.0082378,              0.0082378,              0.0082378
                     91,                0.41271,                0.22214,                 0.8129,                 0.9923,                0.98915,                 0.9949,                0.94332,                0.39768,                0.18387,                0.90378,               0.008218,               0.008218,               0.008218
                     92,                0.41249,                0.22415,                0.81243,                      1,                0.97539,                0.99497,                  0.944,                0.40039,                  0.195,                0.90479,              0.0081982,              0.0081982,              0.0081982
                     93,                0.41196,                0.22404,                0.81301,                      1,                0.96163,                0.99485,                0.94251,                0.40619,                0.19947,                0.90393,              0.0081784,              0.0081784,              0.0081784
                     94,                0.41143,                0.22493,                0.81426,                0.99936,                0.96419,                0.99459,                0.92753,                0.43217,                0.21206,                0.90604,              0.0081586,              0.0081586,              0.0081586
                     95,                0.40832,                0.22315,                 0.8132,                      1,                0.96685,                0.99487,                0.93999,                0.41001,                0.20571,                0.90201,              0.0081388,              0.0081388,              0.0081388
                     96,                 0.4055,                0.22238,                0.80984,                      1,                0.96345,                0.99485,                0.94928,                 0.3791,                0.20529,                0.90092,               0.008119,               0.008119,               0.008119
                     97,                0.40715,                0.22073,                0.81018,                      1,                0.96163,                0.99492,                 0.9509,                0.38492,                0.20876,                0.90259,              0.0080992,              0.0080992,              0.0080992
                     98,                0.40545,                 0.2214,                0.81057,                 0.9948,                0.97844,                0.99487,                0.94594,                0.39079,                0.18916,                0.90334,              0.0080794,              0.0080794,              0.0080794
                     99,                0.40573,                0.22075,                 0.8115,                0.99741,                0.98625,                0.99495,                0.95083,                0.36897,                0.18722,                0.90063,              0.0080596,              0.0080596,              0.0080596
                    100,                0.40411,                 0.2208,                0.81116,                      1,                0.96512,                  0.995,                0.94926,                 0.3838,                0.19658,                0.90169,              0.0080398,              0.0080398,              0.0080398
                    101,                0.40238,                0.21956,                0.81209,                      1,                0.96771,                0.99492,                0.95403,                0.36233,                0.18621,                0.89921,                0.00802,                0.00802,                0.00802
                    102,                0.40292,                0.22202,                0.81235,                      1,                0.97998,                  0.995,                0.94693,                0.38162,                0.18347,                0.90025,              0.0080002,              0.0080002,              0.0080002
                    103,                 0.4023,                0.21904,                0.81242,                      1,                0.96404,                0.99495,                0.93302,                0.42662,                0.20236,                0.90348,              0.0079804,              0.0079804,              0.0079804
                    104,                0.39676,                0.21742,                0.81003,                      1,                0.98601,                  0.995,                0.94398,                0.37608,                0.17546,                 0.8997,              0.0079606,              0.0079606,              0.0079606
                    105,                0.40124,                 0.2193,                0.81107,                0.99872,                0.99744,                  0.995,                0.91932,                0.44297,                0.18546,                0.90713,              0.0079408,              0.0079408,              0.0079408
                    106,                0.39819,                0.21857,                0.80968,                      1,                0.98399,                  0.995,                 0.9423,                 0.3796,                0.18161,                0.90091,               0.007921,               0.007921,               0.007921
                    107,                0.39691,                0.21891,                0.80995,                0.98489,                      1,                  0.995,                0.94007,                0.39976,                0.18635,                0.90302,              0.0079012,              0.0079012,              0.0079012
                    108,                 0.3959,                0.21693,                 0.8096,                0.98489,                      1,                  0.995,                0.93488,                0.43671,                0.19734,                0.90513,              0.0078814,              0.0078814,              0.0078814
                    109,                0.39415,                 0.2166,                0.80832,                      1,                0.96906,                0.99497,                0.94022,                 0.4112,                0.19366,                0.90189,              0.0078616,              0.0078616,              0.0078616
                    110,                0.39142,                0.21632,                0.81012,                0.99738,                0.97445,                0.99492,                0.93023,                0.43147,                0.19565,                0.90398,              0.0078418,              0.0078418,              0.0078418
                    111,                0.39444,                0.21563,                  0.809,                0.99218,                0.97327,                0.99459,                0.92621,                0.44492,                0.20391,                0.90466,               0.007822,               0.007822,               0.007822
                    112,                0.39018,                0.21336,                0.80903,                      1,                0.96162,                0.99467,                0.94347,                0.39199,                0.19969,                0.90148,              0.0078022,              0.0078022,              0.0078022
                    113,                0.38625,                0.21202,                0.80937,                      1,                0.97286,                0.99497,                0.94954,                0.37379,                0.18942,                0.90074,              0.0077824,              0.0077824,              0.0077824
                    114,                0.38501,                0.21151,                0.80886,                      1,                0.97935,                  0.995,                0.94832,                0.36388,                0.18661,                0.90056,              0.0077626,              0.0077626,              0.0077626
                    115,                0.38398,                0.21124,                0.80903,                      1,                0.98402,                0.99495,                0.94899,                0.36545,                0.18827,                0.89945,              0.0077428,              0.0077428,              0.0077428
                    116,                0.38298,                0.21248,                0.80906,                0.98583,                0.98721,                0.99467,                0.93619,                0.39599,                0.19771,                 0.9004,               0.007723,               0.007723,               0.007723
                    117,                0.38009,                0.20985,                 0.8079,                0.98967,                0.97997,                0.99449,                0.93118,                0.41986,                 0.1995,                0.90286,              0.0077032,              0.0077032,              0.0077032
                    118,                0.37764,                0.20706,                0.80848,                0.98954,                0.96776,                0.99444,                 0.9351,                0.41394,                 0.2032,                0.90309,              0.0076834,              0.0076834,              0.0076834
                    119,                0.37804,                0.21048,                0.80834,                0.99964,                0.95908,                0.99407,                0.93452,                0.41092,                0.20186,                0.90115,              0.0076636,              0.0076636,              0.0076636
                    120,                0.37897,                0.20849,                0.81061,                0.99218,                0.99233,                0.99492,                0.92699,                0.43418,                0.19801,                0.90191,              0.0076438,              0.0076438,              0.0076438
                    121,                0.37691,                0.21089,                0.80823,                      1,                0.98645,                0.99495,                0.92727,                0.42803,                0.20143,                0.90156,               0.007624,               0.007624,               0.007624
                    122,                0.37158,                0.20529,                0.80688,                      1,                0.97391,                0.99487,                0.92847,                0.42485,                0.20451,                0.90176,              0.0076042,              0.0076042,              0.0076042
                    123,                0.37157,                0.20533,                 0.8052,                      1,                0.96854,                0.99477,                0.92928,                0.42506,                0.20807,                0.90251,              0.0075844,              0.0075844,              0.0075844
                    124,                0.36614,                0.20339,                0.80841,                0.99738,                0.97376,                0.99474,                0.93115,                 0.4216,                0.19925,                0.90253,              0.0075646,              0.0075646,              0.0075646
                    125,                0.36799,                0.20385,                0.80626,                      1,                0.97054,                 0.9947,                0.93662,                0.39506,                0.19566,                0.90097,              0.0075448,              0.0075448,              0.0075448
                    126,                0.36606,                 0.2051,                0.80754,                0.99736,                0.96513,                0.99467,                0.93539,                 0.4071,                0.21053,                0.90138,               0.007525,               0.007525,               0.007525
                    127,                0.36693,                0.20426,                0.80479,                0.99868,                0.96164,                0.99475,                0.93423,                 0.4156,                0.22489,                0.90182,              0.0075052,              0.0075052,              0.0075052
                    128,                0.36439,                0.20392,                0.80596,                0.99229,                0.98721,                0.99268,                0.93746,                0.40325,                0.22773,                0.90046,              0.0074854,              0.0074854,              0.0074854
                    129,                0.36337,                 0.2032,                0.80725,                0.99479,                0.97698,                0.98794,                0.93863,                0.38982,                0.22886,                0.89911,              0.0074656,              0.0074656,              0.0074656
                    130,                0.36248,                 0.2039,                0.80555,                0.99483,                0.98465,                0.99141,                 0.9391,                0.39312,                0.22772,                0.89989,              0.0074458,              0.0074458,              0.0074458
                    131,                0.36346,                0.20298,                0.80863,                0.98974,                0.98721,                0.99269,                0.93942,                0.39847,                0.23211,                0.90028,               0.007426,               0.007426,               0.007426
